ROR_cleaned,count,year,USFF,Agency
05xf94514,6,2020,TRUE,United States Public Health Service
04et59085,6,2020,TRUE,Institute of Education Sciences
03h7mcc28,6,2020,TRUE,"Directorate for Social, Behavioral & Economic Sciences"
05w4e8v21,6,2020,TRUE,United States Army Corps of Engineers
00mmn6b08,6,2020,TRUE,Office of Science
03q1rgc19,5,2020,TRUE,Advanced Research Projects Agency-Energy
02s42ys89,5,2020,TRUE,Pacific Northwest Research Station
034xvzb47,5,2020,TRUE,United States Food and Drug Administration
05v3mvq14,5,2020,TRUE,National Energy Research Scientific Computing Center
04b7xxn32,5,2020,TRUE,United States Social Security Administration
01v3fsc55,4,2020,TRUE,Office of the Director of National Intelligence
014geb094,4,2020,TRUE,Fulbright Program
03g2zjp07,4,2020,TRUE,Congressionally Directed Medical Research Programs
0471zv972,3,2020,TRUE,"Division of Chemical, Bioengineering, Environmental, and Transport Systems"
04hccab49,3,2020,TRUE,NASA Research Park
041nk4h53,3,2020,TRUE,Lawrence Livermore National Laboratory
00ezrrm21,3,2020,TRUE,United States Bureau of Reclamation
04dh3fc08,3,2020,TRUE,Office of the Secretary of Health and Human Services
05fnzca26,3,2020,TRUE,Antarctic Sciences
03j7rgg33,3,2020,TRUE,Natural Resources Conservation Service
045s99b94,3,2020,TRUE,NASA Earth Science
037gd6g64,3,2020,TRUE,Division of Atmospheric and Geospace Sciences
04j23ff69,3,2020,TRUE,Alaska Sea Grant
02xey9a22,3,2020,TRUE,Fogarty International Center
02rdkx920,3,2020,TRUE,United States Army Combat Capabilities Development Command
00v8p7w89,3,2020,TRUE,National Institute of Justice
02trddg58,2,2020,TRUE,Arctic Sciences
006gmme17,2,2020,TRUE,United States Air Force
03ar0mv07,2,2020,TRUE,United States Department of the Navy
047fr0y29,2,2020,TRUE,Washington Sea Grant
037bamf06,2,2020,TRUE,NOAA Global Ocean Monitoring and Observing Program
01tnvpc68,2,2020,TRUE,Emerging Frontiers Office
05ehhzx21,2,2020,TRUE,"U.S. Geological Survey, Alaska Science Center"
01973x930,2,2020,TRUE,United States Department of the Air Force
02a0fwv66,2,2020,TRUE,American Institute of Mathematics
05vw05p26,2,2020,TRUE,National Wildlife Research Center
04r5s4b52,2,2020,TRUE,Center for Scientific Review
05c6y9623,2,2020,TRUE,Virginia Sea Grant
03w6nzd18,2,2020,TRUE,Cerro Tololo Inter-American Observatory
027mhn368,2,2020,TRUE,U.S. Army Engineer Research and Development Center
05rsv9s98,2,2020,TRUE,United States Department of Veterans Affairs
02kgve346,1,2020,TRUE,NOAA Oceanic and Atmospheric Research
04ggd2r74,1,2020,TRUE,Office of Marine and Aviation Operations
01y3zfr79,1,2020,TRUE,National Institute of Nursing Research
04xm1d337,1,2020,TRUE,Joint Genome Institute
0502a2655,1,2020,TRUE,National Institute for Occupational Safety and Health
022d75229,1,2020,TRUE,NOAA National Marine Fisheries Service Southwest Fisheries Science Center
01ca2by25,1,2020,TRUE,Great Lakes Bioenergy Research Center
04chq2495,1,2020,TRUE,United States Department of Commerce
00wks2x74,1,2020,TRUE,Indiana Space Grant Consortium
027k65916,1,2020,TRUE,Jet Propulsion Laboratory
053598c22,1,2020,TRUE,University of Hawaiʻi Sea Grant
0225cwm17,1,2020,TRUE,Pennsylvania Space Grant Consortium
01d947q34,1,2020,TRUE,Water Power Technologies Office
04dpymk59,1,2020,TRUE,National Agricultural Statistics Service
002jdaq33,1,2020,TRUE,Division of Molecular & Cellular Biosciences
05p9bjd64,1,2020,TRUE,Office of Policy
033mqx355,1,2020,TRUE,NOAA National Marine Fisheries Service
01e41cf67,1,2020,TRUE,Los Alamos National Laboratory
04jaeeg73,1,2020,TRUE,Wyoming Space Grant Consortium
00xfvky15,1,2020,TRUE,Ohio Sea Grant College Program
05ycxzd89,1,2020,TRUE,Economic Research Service
05aq6yn88,1,2020,TRUE,Office of Extramural Research
03cd02q50,1,2020,TRUE,United States Army Medical Research and Development Command
028rfb880,1,2020,TRUE,Office of Secretary of Energy
051fftw81,1,2020,TRUE,Division of Mathematical Sciences
05q0y0j38,1,2020,TRUE,Federal Aviation Administration
020fhsn68,1,2020,TRUE,Research Experiences for Undergraduates
01k638r21,1,2020,TRUE,Office of International Science and Engineering
023ny1p48,1,2020,TRUE,"National Heart, Lung, and Blood Institute Division of Intramural Research"
025g6sc95,1,2020,FALSE,President's Emergency Plan for AIDS Relief
00apvva27,1,2020,TRUE,National Science Board
02yn1nr06,1,2020,TRUE,California Sea Grant
04347cr60,1,2020,TRUE,Rocky Mountain Research Station
00f93gc02,1,2020,TRUE,Vehicle Technologies Office
05wgkzg12,1,2020,TRUE,Division of Behavioral and Cognitive Sciences
04vfsmv21,1,2020,TRUE,National Institutes of Health Clinical Center
04rc0xn13,93724,2021,TRUE,Environmental Molecular Sciences Laboratory
028rfb880,8409,2021,TRUE,Office of Secretary of Energy
021nxhr62,4364,2021,TRUE,National Science Foundation
027ka1x80,1477,2021,TRUE,National Aeronautics and Space Administration
05wqqhv83,794,2021,TRUE,Division of Ocean Sciences
01cwqze88,427,2021,TRUE,National Institutes of Health
02916qm60,202,2021,TRUE,United States Department of Justice
04q48ey07,166,2021,TRUE,National Institute of General Medical Sciences
05qx3fv49,139,2021,TRUE,National Institute of Food and Agriculture
00b6sbb32,135,2021,TRUE,Directorate for Engineering
05nwjp114,126,2021,TRUE,Office of Polar Programs
01na82s61,123,2021,TRUE,United States Department of Agriculture
001xhss06,117,2021,TRUE,Directorate for Biological Sciences
02z5nhe81,100,2021,TRUE,National Oceanic and Atmospheric Administration
012pb6c26,99,2021,TRUE,National Heart Lung and Blood Institute
04byxyr05,90,2021,TRUE,Eunice Kennedy Shriver National Institute of Child Health and Human Development
040gcmg81,88,2021,TRUE,National Cancer Institute
01bj3aw27,85,2021,TRUE,United States Department of Energy
043z4tv69,85,2021,TRUE,National Institute of Allergy and Infectious Diseases
00adh9b73,79,2021,TRUE,National Institute of Diabetes and Digestive and Kidney Diseases
05p847d66,78,2021,TRUE,Directorate for Geosciences
01s5ya894,75,2021,TRUE,National Institute of Neurological Disorders and Stroke
049v75w11,70,2021,TRUE,National Institute on Aging
00vf4jm23,66,2021,TRUE,Administration for Community Living
04mhx6838,51,2021,TRUE,National Institute on Deafness and Other Communication Disorders
00j4k1h63,48,2021,TRUE,National Institute of Environmental Health Sciences
03g87he71,45,2021,TRUE,Division of Environmental Biology
03wkg3b53,41,2021,TRUE,National Eye Institute
04xeg9z08,41,2021,TRUE,National Institute of Mental Health
042twtr12,40,2021,TRUE,Centers for Disease Control and Prevention
00fj8a872,38,2021,TRUE,Office of the Director
021adze67,37,2021,TRUE,United States Department of Education
00fq5cm18,35,2021,TRUE,National Institute on Drug Abuse
035a68863,32,2021,TRUE,United States Geological Survey
04pw6fb54,32,2021,TRUE,National Center for Advancing Translational Sciences
01ar8dr59,29,2021,TRUE,Division of Chemistry
04k7dar27,28,2021,TRUE,United States Fish and Wildlife Service
033jnv181,27,2021,TRUE,United States Department of Health and Human Services
014bj5w56,24,2021,TRUE,Directorate for STEM Education (EDU)
00g8hms52,22,2021,TRUE,Administration for Children and Families
02jzrsm59,22,2021,TRUE,National Institute on Alcohol Abuse and Alcoholism
03zmjc935,20,2021,TRUE,US Forest Service
00rk2pe57,18,2021,TRUE,Office of Naval Research
05335sh79,17,2021,TRUE,Office of Juvenile Justice and Delinquency Prevention
0060t0j89,16,2021,TRUE,United States National Library of Medicine
04et59085,16,2021,TRUE,Institute of Education Sciences
04evh7y43,16,2021,TRUE,Division of Acquisition and Cooperative Support
00372qc85,16,2021,TRUE,National Institute of Biomedical Imaging and Bioengineering
044zqqy65,14,2021,TRUE,National Park Service
0447fe631,14,2021,TRUE,United States Department of Defense
004a2wv92,13,2021,TRUE,National Institute of Dental and Craniofacial Research
01n6e6j62,13,2021,TRUE,United States Agency for International Development
02d2m2044,12,2021,TRUE,Agricultural Research Service
006zn3t30,12,2021,TRUE,National Institute of Arthritis and Musculoskeletal and Skin Diseases
05epdh915,11,2021,TRUE,United States Army Research Office
03v0pmy70,11,2021,TRUE,United States Department of the Interior
02caytj08,10,2021,TRUE,Defense Advanced Research Projects Agency
00baak391,9,2021,TRUE,National Human Genome Research Institute
02xfw2e90,9,2021,TRUE,United States Department of Transportation
035w1gb98,7,2021,TRUE,United States Department of the Army
03tns0030,7,2021,TRUE,Environmental Protection Agency
05v01mk25,7,2021,TRUE,Division of Earth Sciences
011e9bt93,6,2021,TRUE,United States Air Force Office of Scientific Research
00mmn6b08,6,2021,TRUE,Office of Science
01qa5ep47,5,2021,TRUE,Materials Research Science and Engineering Centers
02yn1nr06,5,2021,TRUE,California Sea Grant
046107075,5,2021,TRUE,Oregon Sea Grant
03ar0mv07,5,2021,TRUE,United States Department of the Navy
00v8p7w89,5,2021,TRUE,National Institute of Justice
01rvays47,5,2021,TRUE,Division of Integrative Organismal Systems
03ccbtk93,5,2021,TRUE,Joint Fire Science Program
041nk4h53,5,2021,TRUE,Lawrence Livermore National Laboratory
03q1rgc19,4,2021,TRUE,Advanced Research Projects Agency-Energy
02xey9a22,4,2021,TRUE,Fogarty International Center
0599wfz09,4,2021,TRUE,Animal and Plant Health Inspection Service
0502a2655,4,2021,TRUE,National Institute for Occupational Safety and Health
05xpvk416,4,2021,TRUE,National Institute of Standards and Technology
01kgxxx41,3,2021,TRUE,North Carolina Sea Grant
05mg91w61,3,2021,TRUE,Office of Basic Energy Sciences
03jmfdf59,3,2021,TRUE,Agency for Healthcare Research and Quality
00whkrf32,3,2021,TRUE,Division of Graduate Education
006gmme17,3,2021,TRUE,United States Air Force
019jdc178,3,2021,TRUE,Northern Research Station
05wgkzg12,3,2021,TRUE,Division of Behavioral and Cognitive Sciences
00190t495,3,2021,TRUE,National Center for Complementary and Integrative Health
05fnzca26,3,2021,TRUE,Antarctic Sciences
05rsv9s98,3,2021,TRUE,United States Department of Veterans Affairs
00ezrrm21,3,2021,TRUE,United States Bureau of Reclamation
02e3wq066,3,2021,TRUE,Division of Program Coordination Planning and Strategic Initiatives
03sk1we31,2,2021,TRUE,National Nuclear Security Administration
050m26017,2,2021,TRUE,Farm Service Agency
00afsp483,2,2021,TRUE,United States Army
01973x930,2,2021,TRUE,United States Department of the Air Force
03j9e2j92,2,2021,TRUE,Stennis Space Center
022ethc91,2,2021,TRUE,Southern Research Station
04xm1d337,2,2021,TRUE,Joint Genome Institute
00q4sx826,2,2021,TRUE,Office of the Secretary of Defense
029b7h395,2,2021,TRUE,Directorate for Mathematical & Physical Sciences
04dh3fc08,2,2021,TRUE,Office of the Secretary of Health and Human Services
03g2zjp07,2,2021,TRUE,Congressionally Directed Medical Research Programs
047fr0y29,2,2021,TRUE,Washington Sea Grant
04k9mqs78,2,2021,TRUE,Office of Integrative Activities
01qrpsa36,2,2021,TRUE,Bioenergy Technologies Office
0493hgw16,2,2021,TRUE,National Institute on Minority Health and Health Disparities
02e2egq70,1,2021,TRUE,United States Air Force Research Laboratory
04jaeeg73,1,2021,TRUE,Wyoming Space Grant Consortium
04rw5yk74,1,2021,TRUE,Yellowstone National Park
022d75229,1,2021,TRUE,NOAA National Marine Fisheries Service Southwest Fisheries Science Center
02s42ys89,1,2021,TRUE,Pacific Northwest Research Station
051fftw81,1,2021,TRUE,Division of Mathematical Sciences
02trddg58,1,2021,TRUE,Arctic Sciences
03xyg3m20,1,2021,TRUE,Division of Industrial Innovation & Partnerships
03f9f1d95,1,2021,TRUE,Air Force Institute of Technology
03j7rgg33,1,2021,TRUE,Natural Resources Conservation Service
045by4v54,1,2021,TRUE,Louisiana Sea Grant
04nseet23,1,2021,TRUE,Office of the Director
053598c22,1,2021,TRUE,University of Hawaiʻi Sea Grant
01p7gwa14,1,2021,TRUE,NASA Shared Services Center
05b1jpg49,1,2021,TRUE,Idaho Space Grant Consortium
01sy5zn44,1,2021,TRUE,Bureau of Land Management
033mqx355,1,2021,TRUE,NOAA National Marine Fisheries Service
02k4h0334,1,2021,TRUE,NOAA National Ocean Service
01ca2by25,1,2021,TRUE,Great Lakes Bioenergy Research Center
05v14bq57,1,2021,TRUE,NOAA Office for Coastal Management
05hhm9a98,1,2021,TRUE,Savannah River Operations Office
01h7fye62,1,2021,TRUE,NOAA National Marine Fisheries Service Alaska Fisheries Science Center
02rdkx920,1,2021,TRUE,United States Army Combat Capabilities Development Command
04tz64554,1,2021,TRUE,Defense Threat Reduction Agency
01v3fsc55,1,2021,TRUE,Office of the Director of National Intelligence
037f7zx95,1,2021,TRUE,New Hampshire Sea Grant
05wk0m864,1,2021,TRUE,Cold Regions Research and Engineering Laboratory
011hc8f90,1,2021,TRUE,DEVCOM Army Research Laboratory
04x68p008,1,2021,TRUE,Edward T. Schafer Agricultural Research Center
027mhn368,1,2021,TRUE,U.S. Army Engineer Research and Development Center
01y3zfr79,1,2021,TRUE,National Institute of Nursing Research
0114b2m14,1,2021,TRUE,Office of Biological and Environmental Research
01qz5mb56,1,2021,TRUE,Oak Ridge National Laboratory
014a5gx79,1,2021,TRUE,United States Department of Housing and Urban Development
01tnvpc68,1,2021,TRUE,Emerging Frontiers Office
00znex860,1,2021,TRUE,United States Naval Academy
03w6nzd18,1,2021,TRUE,Cerro Tololo Inter-American Observatory
034xvzb47,1,2021,TRUE,United States Food and Drug Administration
05jnma812,1,2021,TRUE,"Office of Planning, Research and Evaluation"
02a0fwv66,1,2021,TRUE,American Institute of Mathematics
00apvva27,1,2021,TRUE,National Science Board
03eecgp81,1,2021,TRUE,Office of Under Secretary of Energy for Science
0171mag52,1,2021,TRUE,Goddard Space Flight Center
027k65916,1,2021,TRUE,Jet Propulsion Laboratory
058465397,1,2021,TRUE,North Carolina Space Grant Consortium
04347cr60,1,2021,TRUE,Rocky Mountain Research Station
04kz4p343,1,2021,TRUE,Institute for Collaborative Biotechnologies
04rc0xn13,142686,2022,TRUE,Environmental Molecular Sciences Laboratory
021nxhr62,3587,2022,TRUE,National Science Foundation
027ka1x80,1702,2022,TRUE,National Aeronautics and Space Administration
01cwqze88,923,2022,TRUE,National Institutes of Health
04q48ey07,545,2022,TRUE,National Institute of General Medical Sciences
05wqqhv83,495,2022,TRUE,Division of Ocean Sciences
02916qm60,299,2022,TRUE,United States Department of Justice
049v75w11,176,2022,TRUE,National Institute on Aging
01na82s61,174,2022,TRUE,United States Department of Agriculture
05nwjp114,166,2022,TRUE,Office of Polar Programs
05qx3fv49,133,2022,TRUE,National Institute of Food and Agriculture
00vf4jm23,107,2022,TRUE,Administration for Community Living
01s5ya894,106,2022,TRUE,National Institute of Neurological Disorders and Stroke
04byxyr05,102,2022,TRUE,Eunice Kennedy Shriver National Institute of Child Health and Human Development
01bj3aw27,95,2022,TRUE,United States Department of Energy
012pb6c26,79,2022,TRUE,National Heart Lung and Blood Institute
043z4tv69,73,2022,TRUE,National Institute of Allergy and Infectious Diseases
040gcmg81,70,2022,TRUE,National Cancer Institute
03wkg3b53,67,2022,TRUE,National Eye Institute
001xhss06,67,2022,TRUE,Directorate for Biological Sciences
00b6sbb32,65,2022,TRUE,Directorate for Engineering
04pw6fb54,61,2022,TRUE,National Center for Advancing Translational Sciences
00adh9b73,55,2022,TRUE,National Institute of Diabetes and Digestive and Kidney Diseases
00fq5cm18,53,2022,TRUE,National Institute on Drug Abuse
04xeg9z08,50,2022,TRUE,National Institute of Mental Health
04k7dar27,47,2022,TRUE,United States Fish and Wildlife Service
02z5nhe81,45,2022,TRUE,National Oceanic and Atmospheric Administration
0493hgw16,42,2022,TRUE,National Institute on Minority Health and Health Disparities
033jnv181,37,2022,TRUE,United States Department of Health and Human Services
00baak391,36,2022,TRUE,National Human Genome Research Institute
03zmjc935,35,2022,TRUE,US Forest Service
00j4k1h63,35,2022,TRUE,National Institute of Environmental Health Sciences
00rk2pe57,34,2022,TRUE,Office of Naval Research
00fj8a872,34,2022,TRUE,Office of the Director
035a68863,33,2022,TRUE,United States Geological Survey
05p847d66,31,2022,TRUE,Directorate for Geosciences
021adze67,31,2022,TRUE,United States Department of Education
03g87he71,28,2022,TRUE,Division of Environmental Biology
0447fe631,28,2022,TRUE,United States Department of Defense
004a2wv92,26,2022,TRUE,National Institute of Dental and Craniofacial Research
01n6e6j62,21,2022,TRUE,United States Agency for International Development
011e9bt93,21,2022,TRUE,United States Air Force Office of Scientific Research
05335sh79,21,2022,TRUE,Office of Juvenile Justice and Delinquency Prevention
03v0pmy70,19,2022,TRUE,United States Department of the Interior
02d2m2044,17,2022,TRUE,Agricultural Research Service
02jzrsm59,16,2022,TRUE,National Institute on Alcohol Abuse and Alcoholism
00g8hms52,16,2022,TRUE,Administration for Children and Families
00372qc85,14,2022,TRUE,National Institute of Biomedical Imaging and Bioengineering
04mhx6838,14,2022,TRUE,National Institute on Deafness and Other Communication Disorders
0060t0j89,14,2022,TRUE,United States National Library of Medicine
042twtr12,13,2022,TRUE,Centers for Disease Control and Prevention
0114b2m14,12,2022,TRUE,Office of Biological and Environmental Research
05r5c7c30,12,2022,TRUE,"National Institute on Disability, Independent Living, and Rehabilitation Research"
014bj5w56,11,2022,TRUE,Directorate for STEM Education (EDU)
02caytj08,11,2022,TRUE,Defense Advanced Research Projects Agency
006zn3t30,11,2022,TRUE,National Institute of Arthritis and Musculoskeletal and Skin Diseases
01rvays47,11,2022,TRUE,Division of Integrative Organismal Systems
